Título,URL,Descrição,Palavras-chave,Habilidade(s) - BNCC,Tipos de Mídias,Disciplina,Temas Curriculares,Temas Transversais,"Etapas, anos e modalidades",Licenças de Uso,Idioma,Acessibilidade,Conectividade,Oferecido por,Produzido por,Etnias indígenas,Anos escolar,ID (não editar)
"Feathertop, de Nathaniel Hawthorne",http://www.manythings.org/voa/stories/Feathertop_-_By_Nathaniel_Hawthorne.html,"""American Stories for English Learners"" apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""Feathertop"" de Nathaniel Hawthorne, publicado em 1852, usa as aventuras do espantalho Feathertop para falar do caráter do ser humano.",reading comprehension; American literature; short story,"EF08LI06, EF08LI07, EF08LI18",Áudio,Lingua inglesa,,,,Copyright,inglês,,Online; offline (download),,Charles Kelly e Lawrence Kelly,,,56e4c91169702d17532d1000
"Rappaccini's daughter (parte 1), de Nathaniel Hawthorne",http://www.manythings.org/voa/stories/Rappaccini_s_Daughter_-_By_Nathaniel_Hawthorne_-_Part_1.html,"""American Stories for English Learners"" apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""Rappaccini's daughter"" (aqui dividido em 2 partes) de Nathaniel Hawthorne, publicado em 1844, conta a história do estudante italiano Giovanni e seu amor por Beatrice, filha de Rappaccini. A moça foi contaminada pelos venenos presentes nas plantas do jardim de sua casa e tocá-la significa morrer envenenado.",reading comprehension; American literature; short story,"EF08LI06, EF08LI07, EF08LI18",Áudio,Lingua inglesa,,,,Copyright,inglês,,Online; offline (download),,Charles Kelly e Lawrence Kelly,,,56e4c9a669702d1753311000
"Rappaccini's daughter (parte 2), de Nathaniel Hawthorne",http://www.manythings.org/voa/stories/Rappaccini_s_Daughter_-_By_Nathaniel_Hawthorne_-_Part_2.html,"""American Stories for English Learners"" apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. O conto ""Rappaccini's daughter"" (aqui dividido em 2 partes) de Nathaniel Hawthorne, publicado em 1844, conta a história do estudante italiano Giovanni e seu amor por Beatrice, filha de Rappaccini. A moça foi contaminada pelos venenos presentes nas plantas do jardim de sua casa e tocá-la significa morrer envenenado.",reading comprehension; American literature; short story,"EF08LI06, EF08LI07, EF08LI18",Áudio,Lingua inglesa,,,,Copyright,inglês,,Online; offline (download),,Charles Kelly e Lawrence Kelly,,,56e4ca4669702d1753401000
"A municipal report, de O. Henry",http://www.manythings.org/voa/stories/A_Municipal_Report_-_By_O_Henry.html,"""American Stories for English Learners"" apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos. Narrado em primeira pessoa, ""A municipal report"", publicado em 1904, é considerado a obra prima de William Sydney Porter, mais conhecido como O. Henry. A história conta o drama de Azalea Adair, uma dama do sul dos EUA que é maltratada por seu marido, Major Caswell, e salva pelo nobre e gentil negro Uncle Caesar.",reading comprehension; American literature; short story,"EF08LI06, EF08LI07, EF08LI18",Áudio,Lingua inglesa,,,,Copyright,inglês,,Online; offline (download),,Charles Kelly e Lawrence Kelly,,,56e4caf769702d1753461000
"The exact science of matrimony, de O. Henry",http://www.manythings.org/voa/stories/The_Exact_Science_of_Matrimony_-_By_O_Henry.html,"""American Stories for English Learners"" apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos.  O conto ""The exact science of matrimony"" de William Sydney Porter, mais conhecido como O. Henry, conta história de dois homens que planejam ganhar dinheiro fácil e rápido sem trabalhar, através de um casamento oportunista.",reading comprehension; American literature; short story,"EF08LI06, EF08LI07, EF08LI18",Áudio,Lingua inglesa,,,,Copyright,inglês,,Online; offline (download),,Charles Kelly e Lawrence Kelly,,,56e4cb9d69702d1757b51100
"The gift of the Magi, de O. Henry",http://www.manythings.org/voa/stories/The_Gift_of_the_Magi_-_By_O_Henry.html,"""American Stories for English Learners"" apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos.  ""The gift of the Magi ( A Special Story for Christmas)"" é talvez o conto mais famoso de William Sydney Porter, mais conhecido como O. Henry. Publicado pela primeira vez em 1905, conta a história do casal Jim e Della Dillingham que não tem dinheiro para comprar o presente de Natal um para o outro.",reading comprehension; American literature; short story,"EF08LI06, EF08LI07, EF08LI18",Áudio,Lingua inglesa,,,,Copyright,inglês,,Online; offline (download),,Charles Kelly e Lawrence Kelly,,,56e4cc7669702d1753651000
"One thousand dollars, de O. Henry",http://www.manythings.org/voa/stories/One_Thousand_Dollars_-_By_O_Henry.html,"""American Stories for English Learners"" apresenta contos, fábulas e histórias americanas de autores consagrados como Edgar Allan Poe e Mark Twain. O site traz os textos escritos e sua gravação em MP3, com duração aproximada de 15 minutos.  O conto ""One thousand dollars"" de William Sydney Porter, mais conhecido como O. Henry, traz diálogos rápidos e espirituosos, característicos do autor, e conta a história de Robedrt Gillian, um jovem que recebe uma herança de um tio falecido.",reading comprehension; American literature; short story,"EF08LI06, EF08LI07, EF08LI18",Áudio,Lingua inglesa,,,,Copyright,inglês,,Online; offline (download),,Charles Kelly e Lawrence Kelly,,,56e4cd3769702d1753671000
Frequency adverbs – grammar rules,http://learnenglishkids.britishcouncil.org/en/grammar-practice/adverbs-frequency,2 jogos interativos com objetivo de reconhecer os advérbios de frequência em inglês e posicioná-los na frase.,game; frequency adverbs,"EF06LI11, EF06LI17",jogo,Lingua inglesa,,,,CC BY-NC-ND,inglês,,,,British Council,,,54b948ed69702d490a771b00
Pic-your-wits,http://www.learnenglish.org.uk/facebook/picyourwits/index_animals_drupal.php,"Jogo interativo, para descobrir o nome da  figura que será mostrada, em ate 20  segundos. Quanto mais rápido descobrir qual é a figura, mais pontos poderão ser marcador. Possibilidade de checagem de hipóteses, memorização e ampliação de vocabulário.",game; vocabulary; animals,"EF06LI11, EF06LI17",jogo,Lingua inglesa,,,,CC BY-NC-ND,inglês,,,,British Council,,,54b948ee69702d490a781b00
Let it glow 2,http://www.physicsgames.net/game/Let_It_Glow_2.html.,"Jogo em que o aluno deverá posicionar os condutores de campos para permitir a passagem de eletricidade entre a fonte de energia e a(s) lâmpada(s). Este jogo explora estratégias lógicas e tem aspecto infantil, porém permite que o aluno perceba a necessidade de condutores para transmissão de energia de um ponto para outro, o que possibilita o desenvolvimento da habilidade de identificar e caracterizar os principais elementos de um circuito elétrico simples.",game; energy; electric current; intructions; reading comprehension,"EF06LI08, EF06LI11, EF06LI17, EF06LI18",jogo,Lingua inglesa,,,,,inglês,,,,Vyacheslav Stepanov,,,54b94bd769702d490a5c1e00
Time line,http://www.classtools.net/education-games-php/timeline,"Aplicativo em inglês que auxilia na construção de linha do tempo digital. Pode ser inserido  título,imagem, cores diversas,entre outros. Também permite salvar e imprimir a linha do tempo confeccionada.",time line,EF07LI14,,Lingua inglesa,,,,,inglês,,,,ClassTools.net,,,54b94c1d69702d490a9a1e00
American English pronunciation,http://soundsofspeech.uiowa.edu/resources/english/english.html,"""Sounds of Speech"" mostra a pronúncia dos sons em inglês, com foco no sotaque americano. A cada fonema, há um audio, um vídeo e uma animação que descrevem os elementos principais da articulação dos sons em inglês.",pronunciation; phonemes,EF06LI18,aplicativo,Lingua inglesa,,,,,inglês,,,,University of Iowa,,,54b9778969702d65e2fd0100
Aplicativo 123 certificates,http://www.123certificates.com/,"Site em Inglês que possibilita elaborar certificados de incentivo de todos os tipos. Todas as informações são editáveis (nome do aluno, razão para ganhar o certificado, data, etc.), e há a  possibilidade de acesso a vários “templates” (modelos prontos).  ",,"EF06LI15, EF06LI11",,Lingua inglesa,,,,Copyright,inglês,,Online,,MES-English,,,54b9779369702d65e20d0200
The known Universe (O Universo conhecido),https://www.amnh.org/explore/amnh.tv/(watch)/kid-science/the-known-universe/(category)/131049,"Vídeo que aborda os subtemas  Constituintes do Universo e Universo, evolução, hipóteses e modelos ao apresentar, com base na teoria do Big Bang, uma viagem exploratória a partir da Terra até a mais longínqua fronteira do Universo, onde os mais variados astros já mapeados são exibidos. O objeto pode ser utilizado para problematizar questões relacionadas ao conhecimento e tamanho do Universo e contextualizar teorias sobre sua origem e modelo, assim como permite o desenvolvimento das habilidades de identificar e caracterizar diferentes elementos que compõem o Universo e de reconhecer e comparar modelos explicativos sobre a origem e a constituição do Universo segundo diferentes culturas ou em diferentes épocas.",universe; planets,"EF06LI11, EF06LI17",vídeo,Lingua inglesa,,,,copyright,inglês,,,,American Museum of Natural History,,,54b9780a69702d65e28b0200
Rachel’s English – sounds (vídeos),http://www.rachelsenglish.com/sounds,"Coleção de vídeos sobre o funcionamento da articulação na pronúncia dos fonemas em inglês, com enfoque no sotaque americano. São 36 vídeos (cerca de 3 horas no total) com legendas em inglês e um arquivo em PDF com as transcrições das aulas.",phonetics; pronunciation ,EF06LI18,vídeos,Lingua inglesa,,,,,inglês,legendas em inglês,,,Rachel's English,,,54b9786469702d65e2020300
TRACE EFFECTS,http://americanenglish.state.gov/trace-effects,Video game colaborativo para o aprendizado de inglês desenvolvido para alunos entre 12 a 16 anos. O jogo explora a cultura americana através de jogos interativos.,game; american culture; language,"EF07LI09, EF07LI07, EF07LI21",jogo,Lingua inglesa,,,,,inglês,,online ou offline,,United States Department of State,,,54f3d26169702d6bdf390000
Farm Animals,https://www.youtube.com/watch?v=kupUko88cKQ,"Vídeo para praticar vocabulário, leitura e pronúncia: animais da fazenda. ",video; farm animals,"EF06LI11, EF06LI17",vídeo,Lingua inglesa,,,,,inglês,"Há a imagem do anima + o som feito por ele, acompanhados do nome pronunciado e escrito",online,,,,,54f3e01a69702d6bdb490000
Inglês e Cultura: History of the British Empire,http://www.youtube.com/watch?v=sIjrpc0TF9M,"Proposta de vídeo aula digital de Língua Estrangeira Moderna - LEM, da disciplina de inglês, a partir de uma das séries de documentários do canal The History Channel ""Engineering an Empire - Britain: Blood and Steel"" (2006), que ilustra a “Cultura e história do Império Britânico”. Esta aula é um subsídio ao quadro de temas e habilidades do Currículo do Estado de São Paulo do 1º e 2º anos do Ensino Médio, principalmente no que diz respeito ao reconhecimento da influência internacional dos usos da língua inglesa como língua estrangeira no domínio dos países colonizados pela Grã-Bretanha. O vídeo digital (44min) serve como instrumento para o professor de inglês para ampliar junto com os alunos e de forma interdisciplinar os conteúdos trabalhados em sala de aula, além de auxiliar no desenvolvimento translinguístico dos conhecimentos culturais inerentes ao aprendizado da língua inglesa.",English culture,"EF06LI24, EF06LI25, EF07LI21, EF09LI17",vídeo,Lingua inglesa,,,,,narrado em português,Audio e legendas em português. Falas em inglês com legendas em português.,online,,History Channel,,,55f366e869702d0f62aa0200
Click and Clone,http://learn.genetics.utah.edu/content/cloning/clickandclone/,"A ferramenta mostra como funciona o mecanismo de clonagem passo a passo, é interativo e apesar de ser em inglês é muito fácil manuseá-lo, quando o conteúdo foi previamente ministrado, a ferramenta complementa o entendimento. ",clone; sciences; genetics,"EF07LI10, EF07LI09, EF07LI08",interativa,Lingua inglesa,,,,copyright,inglês,,,,University of Utah,,,560d696669702d2f52801f00
Where do you live (2),http://www.learningchocolate.com/content/where-do-you-live-2,"Introdução ao vocabulário referente a tipos de moradias em inglês: imagens + palavra escrita + audio. Atividades de consolidação: ligar o audio à palavra escrita ou à imagem, ligar a palavra escrita à imagem, ditado.",types of housing; vocabulary,"EF06LI17,EF06LI18,EF06LI25",plataforma interativa,Lingua inglesa,,,,copyright,inglês,,online,,Learning chocolate,,,562650e069702d6258cd0d00
Where do you live (1),http://www.learningchocolate.com/content/where-do-you-live-1,"Introdução ao vocabulário referente a tipos de moradias em inglês: imagens + palavra escrita + audio. Atividades de consolidação: ligar o audio à palavra escrita ou à imagem, ligar a palavra escrita à imagem, ditado.",types of housing; vocabulary,"EF06LI17,EF06LI18,EF06LI25",plataforma interativa,Lingua inglesa,,,,copyright,inglês,,online,,Learning chocolate,,,5626516669702d625c370d00
Toys from the Past.,https://youtu.be/I_qslrfr6Kc,"Vídeo aula produzida pelo projeto Expedição Vídeo Aula, explica a diferença do uso e forma do pronome indefinido.",simple past; toys,"EF07LI05, EF07LI14, EF07LI15, EF07LI18",vídeo,Lingua inglesa,,,,,inglês com legendas em português,,,,Expedição Vídeo Aula,,,56292f1b69702d22fcb30b00
That's why ou That's because?,http://www.inglesnapontadalingua.com.br/2015/10/thats-why-ou-thats-because.html?utm_source=feedburner&utm_medium=email&utm_campaign=Feed%3A+denilsodelima+%28Ingl%C3%AAs+na+Ponta+da+L%C3%ADngua+%C2%BB+Texto%29,"Quando usar that’s why ou that’s because? Texto traz a explicação do uso e significado das expressões, com exemplos.",why; because,"EF06LI11, EF07LI10",,Lingua inglesa,,,,copyright,explicaçcão em português com exemplos em inglês,,Online,,Inglês na Ponta da Língua,,,56409bed69702d4513441c00
Jason Mraz - Love someone (song),https://www.youtube.com/watch?v=J74Y6kDDTkM,"Vídeo da música do cantor americano. A letra pode ser facilmente encontrada na internet e pode ser trabalhada como texto, poesia, e como compreensão oral.",song; love; jason mraz; listening comprehension; simple present,"EF08LI18, EF08LI07",vídeo,Lingua inglesa,,,,,inglês,,Online,,Jason Mraz,,,5649fc0469702d1c7e370200
